date,time,subject,staff,links
15,10,"Professional Ethics : Course Outcome, Pos",saraswathi,https://meet.google.com/gxm-scbf-fwv
15,11,Overview of Web Programming,gowri,https://zoom.us/j/91883630513?pwd=TmF3YVFZalJYL0t2WnVMK2Q2aGFPQT09Meeting ID: 918 8363 0513Password: 5NAR9q
16,10,Course outcome - SQA,prabhavathi,http://meet.google.com/uov-xuqu-pgo
17,10,"Introduction to IO,PO,PSO for course Wireless Sensor Networks",aarthi,https://meet.google.com/fak-knmx-svi
20,10,Need for the Web Programming,gowri,https://zoom.us/j/96534435123?pwd=VFpxeDN3bHMvSTZqOWJMTVFQdm1Pdz09Meeting ID: 965 3443 5123Password: 9m6gWv
20,11,software process,prabhavathi, meet.google.com/mvw-cpoz-opf
21,10,Introduction about the course,asha,https://meet.google.com/cbt-hhjc-jqd
21,11,Introduction to Wireless Sensor Networks,aarthi,https://meet.google.com/spj-dtnr-cko
22,10,Instructional Objectives and Students Outcome-PE and SE,saraswathi,https://meet.google.com/swa-ryyy-shr
22,11,Diffrence between web sites and web server,gowri,https://zoom.us/j/94752778670?pwd=d293d284SmJOUkhTaDJHOXYrbi9jQT09Meeting ID: 947 5277 8670Password: 9SCtrY
23,10,Case Study,prabhavathi,meet.google.com/ikr-xaea-yxx
24,10,Introduction to Wireless Sensor Networks,aarthi,https://meet.google.com/bnk-xrnq-ijc
22,21,AI,asha,https://google.com
